symbol,t_score
DRCSYSTEMS,62
DREAMFOLKS,38
DREDGECORP,75
DRL,75
DRL,62
DRONACHRYA,
DRONE,0
DRREDDY,75
DRSCARGO,
DRSDILIP,-1
DSINVEST,25
DSKULKARNI,
DSSL,25
DTIL,38
DUCOL,37.5
DUCON,25
DUGARHOU,50
DUGLOBAL,50
DUKEOFS,88
DUNCANENG,62
DUNCANSLTD,
DUROPACK,38
DUROPLY,62
DUTRON,50
DVL,62
DWARKESH,25
DWITIYA,
DWL,
DYCL,75
DYNAMATECH,38
DYNAMIC,37.5
DYNAMICP,0
DYNAMIND,62
DYNAVSN,38
DYNMICR,
DYNPRO,50
E2E,75
EARTH,
EASEMYTRIP,25
EASTBUILD,67
EASTERNGAS,
EASTRED,25
EASTSILK,
EASTSUGIND,
EASTWEST,0
EASUN,33
EASUNREYRL,
EASYFIN,75
EBFL,
ECLERX,62
ECOBOAR,12
ECOHOTELS,75
ECOPLAST,38
ECORECO,75
ECS,75
ECSTSTL,12
EDELWEISS,12
EDSL,
EDUCOMP,0
EDVENSWA,88
EFACTOR,0
EFCIL,75
EFORCE,0
EFPL,
EICHERMOT,75
EIDPARRY,75
EIFFL,12
EIGHTY,
EIHAHOTELS,75
EIHOTEL,50
EIKO,38
EIMCOELECO,75
EKAMLEA,12
EKANSH,0
EKC,12
EKENNIS,
EKI,25
ELAND,38
ELANGO,0
ELANTAS,75
ELCIDIN,33
ELDEHSG,62
ELECON,75
ELECTCAST,88
ELECTHERM,75
ELEFLOR,12
ELEMARB,50
ELEXT,
ELFORGE,75
ELGIEQUIP,100
ELGIRUBCO,50
ELIN,100
ELITECON,-1
ELIXIR,50
ELLOPAP,
ELNET,88
ELPROINTL,75
EMAINDIA,62
EMAMILTD,75
EMAMIPAP,50
EMAMIREAL,25
EMBASSY,
EMERALD,25
EMERALL,100
EMERGENT,12
EMGEECA,
EMIL,75
EMKAR,
EMKAY,62
EMKAYTOOLS,100
EML,
EMMBI,50
EMMESSA,62
EMMFORCE,
EMMIL,50
EMMSONS,
EMPEESUG,
EMPIND,25
EMPOWER,50
EMSLIMITED,75
EMUDHRA,75
ENBETRD,12
ENCASH,
ENCHANTE,
ENCODE,25
ENDURANCE,62
ENERGYDEV,25
ENFUSE,50
ENGINERSIN,50
ENIL,75
ENKEIWHEL,38
ENNORE,
ENSER,100
ENTERO,50
ENTRINT,62
ENVAIREL,25
EON,
EPACK,67
EPBIO,
EPIC,100
EPIGRAL,75
EPL,50
EPSOMPRO,25
EPUJA,50
EQUIPPP,25
EQUITAS,
EQUITASBNK,62
ERAAYA,75
ERABUILD,
ERIS,75
EROSMEDIA,12
ERPSOFT,50
ESABINDIA,75
ESAFSFB,25
ESARIND,0
ESCONET,0
ESCORP,
ESCORTS,75
ESFL,0
ESHAMEDIA,75
ESKAY,
ESPIRE,0
ESSARSHPNG,62
ESSENTIA,38
ESTER,38
ETHOSLTD,100
ETIL,62
ETT,12
EUPHORIAIT,
EUREKAFORBE,50
EUREKAI,50
EUROASIA,50
EUROBOND,100
EUROCERA,
EUROLED,38
EUROMULTI,
EUROTEXIND,38
EVANS,
EVEREADY,38
EVERESTIND,50
EVERESTO,62
EVERFIN,100
EVEXIA,12
EVOQ,
EXCEL,38
EXCELINDUS,75
EXHICON,
EXICOM,75
EXIDEIND,100
EXPLEOSOL,25
EXPLICITFIN,50
EXPOGAS,75
EXXARO,0
EY,100
FAALCON,
FABINO,
FACORALL,0
FACORSTE,
FACT,62
FAIRCHEMOR,75
FAMILYCARE,25
FAZE3AUTO,
FAZE3Q,50
FCL,88
FCONSUMER,50
FCSSOFT,62
FDC,75
FEDDERELEC,
FEDERALBNK,75
FEDFINA,33
FEL,38
FELIX,12.5
FENOPLAS,
FERMENTA,50
FERVENTSYN,25
FFPL,25
FGP,88
FIBERWEB,50
FIDEL,50
FIEMIND,75
FILATEX,50
FILATFASH,0
FILME,
FILTRA,
FILTRON,
FINCABLES,100
FINELINE,25
FINEORG,75
FINKURVE,12
FINOPB,62
FINPIPE,75
FIRSTFIN,50
FISCHER,50
FIVECORE,
FIVESTAR,75
FIVEXTRADE,
FLAIR,50
FLEXFO,62
FLEXITUFF,0
FLFL,25
FLOMIC,38
FLORACORP,38
FLORATX,17
FLUIDOM,62
FLUOROCHEM,50
FMEC,83
FMGOETZE,100
FMNL,25
FOCE,75
FOCUS,12
FOCUS,
FONE4,
FONEBOX,0
FOODSIN,12
FORBESCO,25
FORCEMOT,75
FORFOOD,
FORINTL,25
FORTIS,75
FORTISMLR,25
FOSCL,
FOSECOIND,100
FRANKLIN,
FRANKLININD,38
FRASER,25
FREDUN,50
FRETAIL,50
FROG,75
FRONTBUSS,
FRONTCAP,
FRONTCORP,50
FRONTFN,
FRONTSP,75
FRSHTRP,38
FRUTION,50
FSC,0
FSL,75
FSSPL,
FTL,
FUNDVISER,50
FUNNY,
FUSION,0
FUTSOL,38
FUTURAPOLY,
FUTURSEC,38
GABRIEL,100
GAEL,0
GAGAN,38
GAGANPO,
GAIL,75
GAJANANSEC,100
GAJRA,
GALACTICO,0
GALADA,
GALADAFIN,75
GALAGEX,25
GALAXYSURF,75
GALLANTT,100
GALLOPENT,62
GALXBRG,12
GAMMONIND,
GANDHAR,25
GANDHITUBE,50
GANECOS,100
GANESHBE,0
GANESHHOUC,75
GANGAFORGE,0
GANGAPA,38
GANGAPHARM,
GANGESSECU,75
GANGOTRI,62
GANHOLD,50
GANONPRO,38
GANVERSE,
GARBIFIN,50
GARFIBRES,75
GARGFUR,38
GARGI,
GARLNIN,
GARMNTMNTR,50
GARNET,75
GARNETINT,75
GARODCH,17
GARWAMAR,0
GARWSYN,75
GATECH,0
GATECHDVR,12
GATEWAY,50
GAYAHWS,100
GAYAPROJ,12
GAYATRI,62
GAYATRIBI,25
GBFL,88
GBGLOBAL,
GBLINFRA,
GCCL,
GCCLINP,
GCKL,100
GCMCAPI,
GCMCOMM,
GCMSECU,25
GCONNECT,
GCSL,
GDLLEAS,-1
GDTRAGN,-1
GEE,12
GEECEE,100
GEEFC,
GEEKAYWIRE,25
GEETANJ,62
GEL,
GEMSI,62
